Result for strategy NFIX_BB_RPB
============================================================ BACKTESTING REPORT ============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|                    sell_profit_t_0_2 ( 101 ) |       2 |      2     0     0   100 |           0.63 |           1.27 |             4.484 |           0.25 |
|            signal_profit_q_pmax_bear ( 105 ) |       2 |      2     0     0   100 |           1.78 |           3.56 |            14.509 |           0.71 |
|                     sell_profit_w_2_9 ( 25 ) |       2 |      2     0     0   100 |           2.18 |           4.36 |            13.868 |           0.87 |
|                    sell_profit_w_2_9 ( 101 ) |       2 |      2     0     0   100 |           2.65 |           5.3  |            25.995 |           1.06 |
|         sell_profit_u_bear_1_1 ( 10 34 103 ) |       1 |      1     0     0   100 |           1.89 |           1.89 |             8.878 |           0.38 |
|                     sell_profit_w_2_9 ( 22 ) |       1 |      1     0     0   100 |           2.96 |           2.96 |            12.442 |           0.59 |
|                    sell_profit_w_4_9 ( 101 ) |       1 |      1     0     0   100 |           4.42 |           4.42 |            19.484 |           0.88 |
|               sell_stoploss_u_e_1 ( 26 101 ) |       1 |      0     0     1     0 |         -11.39 |         -11.39 |           -55.313 |          -2.28 |
|                     sell_profit_t_1_6 ( 28 ) |       1 |      1     0     0   100 |           1.24 |           1.24 |             5.275 |           0.25 |
|                sell_profit_u_bear_1_2 ( 23 ) |       1 |      1     0     0   100 |           1.47 |           1.47 |             6.122 |           0.29 |
|                      sell_profit_w_4_9 ( 9 ) |       1 |      1     0     0   100 |           4.66 |           4.66 |            19.217 |           0.93 |
|                      sell_profit_t_1_1 ( 9 ) |       1 |      1     0     0   100 |           1.4  |           1.4  |             5.778 |           0.28 |
|                     sell_profit_w_3_9 ( 42 ) |       1 |      1     0     0   100 |           3.54 |           3.54 |            14.242 |           0.71 |
|                sell_stoploss_p_48_1_1 ( 17 ) |       1 |      0     0     1     0 |          -4.37 |          -4.37 |           -17.738 |          -0.87 |
|                  sell_stoploss_atr_4 ( 102 ) |       1 |      0     0     1     0 |         -24.9  |         -24.9  |          -105.694 |          -4.98 |
|               sell_stoploss_u_e_1 ( 101 40 ) |       1 |      0     0     1     0 |         -13.73 |         -13.73 |           -57.612 |          -2.75 |
|                    sell_profit_w_1_22 ( 22 ) |       1 |      1     0     0   100 |           1.26 |           1.26 |             5.458 |           0.25 |
|                     sell_profit_w_8_14 ( 3 ) |       1 |      1     0     0   100 |           8.95 |           8.95 |            38.009 |           1.79 |
|                sell_profit_o_bull_2_2 ( 15 ) |       1 |      1     0     0   100 |           2.27 |           2.27 |            11.079 |           0.45 |
|                     sell_profit_t_1_3 ( 23 ) |       1 |      1     0     0   100 |           1.87 |           1.87 |             8.554 |           0.37 |
|                sell_profit_u_bear_1_1 ( 19 ) |       1 |      1     0     0   100 |           1.43 |           1.43 |             6.013 |           0.29 |
|                   sell_stoploss_u_e_1 ( 26 ) |       1 |      0     0     1     0 |         -12.43 |         -12.43 |           -46.583 |          -2.49 |
|               sell_stoploss_u_e_1 ( 31 101 ) |       1 |      0     0     1     0 |          -7.39 |          -7.39 |           -30.725 |          -1.48 |
|                  sell_profit_t_2_1 ( 36 38 ) |       1 |      1     0     0   100 |           2.62 |           2.62 |            10.946 |           0.52 |
|          sell_profit_p_bear_48_2_1_1 ( 104 ) |       1 |      1     0     0   100 |           1.09 |           1.09 |             5.529 |           0.22 |
|               sell_profit_o_bull_2_2 ( 101 ) |       1 |      1     0     0   100 |           2.57 |           2.57 |            10.46  |           0.51 |
|                         sell_long_t_4 ( 32 ) |       1 |      1     0     0   100 |           8.56 |           8.56 |            33.931 |           1.71 |
|                     sell_profit_t_0_2 ( 11 ) |       1 |      1     0     0   100 |           0.15 |           0.15 |             0.78  |           0.03 |
|                    sell_profit_w_1_22 ( 28 ) |       1 |      1     0     0   100 |           1.39 |           1.39 |             5.317 |           0.28 |
